,self_own_assets,poor_level,poor_level_5y_ago,poor_level_5y_later,job_satisfaction,working hours,life_satisfaction
469,1,1.0,1.0,1.0,2.0,27.0,4.0
470,1,1.0,1.0,1.0,2.0,27.0,4.0
471,1,1.0,1.0,1.0,2.0,0.0,4.0
472,1,1.0,1.0,1.0,2.0,0.0,4.0
473,1,1.0,1.0,1.0,2.0,0.0,4.0
474,1,1.0,1.0,1.0,2.0,0.0,4.0
475,1,6.0,6.0,6.0,2.0,16.0,2.0
476,1,6.0,6.0,6.0,2.0,16.0,2.0
477,1,6.0,6.0,6.0,2.0,16.0,2.0
478,1,6.0,6.0,6.0,2.0,42.0,2.0
479,1,6.0,6.0,6.0,2.0,42.0,2.0
480,1,6.0,6.0,6.0,2.0,42.0,2.0
481,1,6.0,6.0,6.0,2.0,42.0,2.0
482,1,6.0,6.0,6.0,2.0,42.0,2.0
483,1,6.0,6.0,6.0,2.0,42.0,2.0
484,1,1.0,1.0,1.0,2.0,35.0,1.0
485,1,1.0,1.0,1.0,2.0,35.0,1.0
486,1,1.0,1.0,1.0,2.0,35.0,1.0
487,1,1.0,1.0,1.0,2.0,35.0,1.0
488,1,1.0,1.0,1.0,2.0,18.0,4.0
489,1,1.0,1.0,1.0,2.0,18.0,4.0
490,1,1.0,1.0,1.0,2.0,18.0,4.0
491,1,1.0,1.0,1.0,2.0,18.0,4.0
